park_id,name_en,name_tc,name_sc,displayAddress_en,displayAddress_tc,displayAddress_sc,latitude,longitude,district_en,district_tc,district_sc,contactNo,opening_status,height,remark_en,remark_tc,remark_sc,carpark_photo
tdc1p1,Lee Garden One Car Park,利園一期停車場,利园一期停车场,"33 HYSAN AVENUE, Wan Chai District, Hong Kong",香港 灣仔區 希慎道33號,香港 湾仔区 希慎道33号,22.27859811,114.18479255,Wan Chai,灣仔區,湾仔区,,open,2.0,"Height Limit: 
Electric Vehicle Charging Service is now available at B3/F of Lee Garden One Car Park (1 no.), B1/F of Lee Garden Two Car Park (1 no.) and 4/F of Leighton Car Park (1 no.).<br><br>Tesla Superchargers are also in service on the B3/F of Lee Garden One Car Park (2 nos.).","高度限制: 
3個電動車充電服務已分別於利園一期停車場B3樓(1個)、利園二期停車場B1樓(1個)及禮頓中心停車場4樓(1個)正式投入服務。<br><br>2個Tesla Supercharger現也於利園一期停車場B3樓正式投入服務。","高度限制: 
3个电动车充电服务已分别于利园一期停车场B3楼(1个)、利园二期停车场B1楼(1个)及礼顿中心停车场4楼(1个)正式投入服务。<br><br>2个Tesla Supercharger现也于利园一期停车场B3楼正式投入服务。",http://resource.data.one.gov.hk/td/carpark/tdc1p1.jpg
tdc1p3,Leighton Car Park,禮頓中心停車場,礼顿中心停车场,"77 LEIGHTON ROAD, Wan Chai District, Hong Kong",香港 灣仔區 禮頓道77號,香港 湾仔区 礼顿道77号,22.27776811,114.18310035,Wan Chai,灣仔區,湾仔区,,open,1.9,"Height Limit: 
Electric Vehicle Charging Service is now available at B3/F of Lee Garden One Car Park (1 no.), B1/F of Lee Garden Two Car Park (1 no.) and 4/F of Leighton Car Park (1 no.).<br><br>Tesla Superchargers are also in service on the B3/F of Lee Garden One Car Park (2 nos.).","高度限制: 
3個電動車充電服務已分別於利園一期停車場B3樓(1個)、利園二期停車場B1樓(1個)及禮頓中心停車場4樓(1個)正式投入服務。<br><br>2個Tesla Supercharger現也於利園一期停車場B3樓正式投入服務。","高度限制: 
3个电动车充电服务已分别于利园一期停车场B3楼(1个)、利园二期停车场B1楼(1个)及礼顿中心停车场4楼(1个)正式投入服务。<br><br>2个Tesla Supercharger现也于利园一期停车场B3楼正式投入服务。",http://resource.data.one.gov.hk/td/carpark/tdc1p3.jpg
tdc1p2,Lee Garden Two Car Park,利園二期停車場,利园二期停车场,"28 YUN PING ROAD, Wan Chai District, Hong Kong",香港 灣仔區 恩平道28號,香港 湾仔区 恩平道28号,22.27825194,114.18594438,Wan Chai,灣仔區,湾仔区,,open,2.1,"Height Limit: 
Electric Vehicle Charging Service is now available at B3/F of Lee Garden One Car Park (1 no.), B1/F of Lee Garden Two Car Park (1 no.) and 4/F of Leighton Car Park (1 no.).<br><br>Tesla Superchargers are also in service on the B3/F of Lee Garden One Car Park (2 nos.).","高度限制: 
3個電動車充電服務已分別於利園一期停車場B3樓(1個)、利園二期停車場B1樓(1個)及禮頓中心停車場4樓(1個)正式投入服務。<br><br>2個Tesla Supercharger現也於利園一期停車場B3樓正式投入服務。","高度限制: 
3个电动车充电服务已分别于利园一期停车场B3楼(1个)、利园二期停车场B1楼(1个)及礼顿中心停车场4楼(1个)正式投入服务。<br><br>2个Tesla Supercharger现也于利园一期停车场B3楼正式投入服务。",http://resource.data.one.gov.hk/td/carpark/tdc1p2.jpg
tdc2p1,Car Park 1 (Hourly),一號停車埸(時租),一号停车埸(时租)," CHEONG SHUN ROAD, Islands District, New Territories",新界 離島區 暢順路號,新界 离岛区 畅顺路号,22.31322343,113.9366562,Islands,離島區,离岛区,2183 4630,open,0.0,"Height Limit: 
","高度限制: 
","高度限制: 
",http://resource.data.one.gov.hk/td/carpark/tdc2p1.jpg
tdc2p4,Car Park 4 - Indoor Zone (Hourly),四號停車埸-室內區(時租),四号停车埸-室内区(时租),"11 CHEONG TAT ROAD, Islands District, New Territories",新界 離島區 暢達路11號,新界 离岛区 畅达路11号,22.31773139,113.93404192,Islands,離島區,离岛区,2183 4630,open,2.0,"Height Limit: 
","高度限制: 
","高度限制: 
",http://resource.data.one.gov.hk/td/carpark/tdc2p4.jpg
tdc2p5,Car Park 4 - Indoor Zone (Long-term),四號停車埸-室內區(長期停放),四号停车埸-室内区(长期停放),"11 CHEONG TAT ROAD, Islands District, New Territories",新界 離島區 暢達路11號,新界 离岛区 畅达路11号,22.31844975,113.93437125,Islands,離島區,离岛区,2183 4630,open,2.0,"Height Limit: 
","高度限制: 
","高度限制: 
",http://resource.data.one.gov.hk/td/carpark/tdc2p5.jpg
tdc2p6,Car Park 4 - Outdoor Zone (Hourly),四號停車埸-露天區(時租),四号停车埸-露天区(时租),"11 CHEONG TAT ROAD, Islands District, New Territories",新界 離島區 暢達路11號,新界 离岛区 畅达路11号,22.31821796,113.93399697,Islands,離島區,离岛区,2183 4630,open,2.0,"Height Limit: 
","高度限制: 
","高度限制: 
",http://resource.data.one.gov.hk/td/carpark/tdc2p6.jpg
tdc2p7,Car Park 4 - Outdoor Zone (Long-term),四號停車埸-露天區(長期停放),四号停车埸-露天区(长期停放),"11 CHEONG TAT ROAD, Islands District, New Territories",新界 離島區 暢達路11號,新界 离岛区 畅达路11号,22.31797036,113.93412819,Islands,離島區,离岛区,2183 4630,open,2.0,"Height Limit: 
","高度限制: 
","高度限制: 
",http://resource.data.one.gov.hk/td/carpark/tdc2p7.jpg
tdcp2,Rumsey Street Car Park,林士街停車場,林士街停车场,"2 Rumsey Street, Sheung Wan, Hong Kong",香港上環林士街2號,香港上环林士街2号,22.28740848,114.15322694,Central & Western,中西區,中西区,,OPEN,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $23 per hour (private car)<br>23:00 - 07:00 $17 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $180 (private car)<br>Sunday to Public holiday from 08:00 - 00:00 $120 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $65 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Quarterly $12150 (private car)<br>Quarterly $1020 (motorcycles)<br>Quarterly $1890 (taxi)<br>","高度限制: 2
時租<br>07:00 - 23:00 每小時 $23 (私家車)<br>23:00 - 07:00 每小時 $17 (私家車)<br><br>日泊<br>星期一至六 07:00 - 19:00 $180 (私家車)<br>星期日及公眾假期 08:00 - 00:00 $120 (私家車)<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $65 (私家車)<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每季 $12150 (私家車)<br>每季 $1020 (電單車)<br>每季 $1890 (的士)<br>","高度限制: 2
时租<br>07:00 - 23:00 每小时 $23 (私家车)<br>23:00 - 07:00 每小时 $17 (私家车)<br><br>日泊<br>星期一至六 07:00 - 19:00 $180 (私家车)<br>星期日及公众假期 08:00 - 00:00 $120 (私家车)<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $65 (私家车)<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每季 $12150 (私家车)<br>每季 $1020 (电单车)<br>每季 $1890 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp2.jpg
tdcp3,Tsuen Wan Car Park,荃灣停車場,荃湾停车场,"174-208 Castle Peak Road, Tsuen Wan, New Territories",新界荃灣青山公路-荃灣段174-208號,新界荃湾青山公路-荃湾段174-208号,22.37284735,114.11860252,Tsuen Wan,荃灣區,荃湾区,,OPEN,0.0,"Height Limit: 2
Hourly<br>07:00 - 23:00 $18 per hour (private car)<br>23:00 - 07:00 $14 per hour (private car)<br><br>Day Park<br>Monday to Saturday from 07:00 - 19:00 $100 (private car)<br>Sunday to Public holiday from 07:00 - 19:00 $100 (private car)<br>08:00 - 23:00 $26 (motorcycles)<br><br>Night Park<br>Monday to Saturday from 19:00 - 07:00 $60 (private car)<br>Sunday to Public holiday from 19:00 - 07:00 $60 (private car)<br>23:00 - 08:00 $11 (motorcycles)<br><br>Monthly<br>Monthly $2100 (private car)<br>Monthly $340 (motorcycles)<br>Monthly $630 (taxi)<br>","高度限制: 2
時租<br>07:00 - 23:00 每小時 $18 (私家車)<br>23:00 - 07:00 每小時 $14 (私家車)<br><br>日泊<br>星期一至六 07:00 - 19:00 $100 (私家車)<br>星期日及公眾假期 07:00 - 19:00 $100 (私家車)<br>08:00 - 23:00 $26 (電單車)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $60 (私家車)<br>星期日及公眾假期 19:00 - 07:00 $60 (私家車)<br>23:00 - 08:00 $11 (電單車)<br><br>月租<br>每月 $2100 (私家車)<br>每月 $340 (電單車)<br>每月 $630 (的士)<br>","高度限制: 2
时租<br>07:00 - 23:00 每小时 $18 (私家车)<br>23:00 - 07:00 每小时 $14 (私家车)<br><br>日泊<br>星期一至六 07:00 - 19:00 $100 (私家车)<br>星期日及公众假期 07:00 - 19:00 $100 (私家车)<br>08:00 - 23:00 $26 (电单车)<br><br>夜泊<br>星期一至六 19:00 - 07:00 $60 (私家车)<br>星期日及公众假期 19:00 - 07:00 $60 (私家车)<br>23:00 - 08:00 $11 (电单车)<br><br>月租<br>每月 $2100 (私家车)<br>每月 $340 (电单车)<br>每月 $630 (的士)<br>",http://resource.data.one.gov.hk/td/carpark/tdcp3.jpg
