,tdcp10,tdcp11,tdcp12,tdcp2,tdcp3,tdcp5,tdcp6,tdcp7,tdcp8,tdcp9,tdstt2p2,tdc17p1,tdstt30,tdc1p5,tdc1p4,tdc1p3,tdc1p2,tdc1p1,tdc17p3,tdstt3p1,tdc17p2,tdstt5p1,tdstt38,tdstt37,tdc25p42,tdc25p41,tdc25p40,tdc25p38,tdc25p37,tdc44p1,tdc43p2,tdc43p1,tdstt31,tdc44p2,tdstt7p1,tdc2p1,tdstt4p1,tdstt10,tdstt11,tdstt15,tdstt12,tdstt17,tdc27p1,tdc6p6,tdc48p2,tdstt19,tdc48p1,tdc6p15,tdc6p17,tdc9p3,tdc29p1,tdstt21,tdstt23,tdstt24,tdstt22,tdstt25,tdstt26,tdstt27,tdstt28,tdc6p19,tdc6p20,tdc6p21,tdc32p1,tdc32p2,tdc32p3,tdc32p4,tdc32p5,tdc32p6,tdc33p1,tdc33p2,tdc36p1,tdc36p2,tdc39p1,tdc38p1,tdc38p2,tdc42p1,tdc41p1,tdc41p2,tdstt29,tdstt39,tdstt40,tdstt41,tdstt42,tdstt43,tdc44p3,tdc47p1,tdstt35,tdstt36,tdstt34,tdstt32,tdstt33,tdstt46,tdstt44,tdc25p43,time,day_of_week,minute,hour
0,30.0,155.0,61.0,489.0,136,131,164,68.0,293,,95.0,49.0,108,145.0,51.0,211.0,100.0,142.0,15,14.0,202.0,73.0,30.0,50.0,15.0,9.0,12.0,84.0,16.0,49.0,,1.0,16,36.0,44.0,227.0,6,150,66,20,3.0,0,9.0,0,14.0,2.0,20.0,0.0,11.0,99.0,4.0,100,93,61,4,24,2,30.0,89.0,0,21,12,8,27,35,20,1,5,4.0,5.0,264,92,,50.0,39.0,1.0,19.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,46.0,90,60,44,5,24,14,20.0,2021-03-10 00:00:00,2,0,0
1,30.0,156.0,61.0,491.0,136,131,163,68.0,288,,95.0,49.0,108,145.0,51.0,213.0,100.0,143.0,15,14.0,202.0,63.0,30.0,50.0,15.0,9.0,12.0,82.0,16.0,49.0,,0.0,16,36.0,44.0,229.0,1,0,0,20,2.0,0,9.0,0,14.0,2.0,20.0,0.0,14.0,99.0,4.0,100,94,61,4,24,2,30.0,89.0,0,21,12,8,27,35,20,1,5,4.0,5.0,264,92,,50.0,39.0,1.0,19.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,46.0,90,60,44,5,24,14,20.0,2021-03-10 00:15:00,2,15,0
2,30.0,156.0,61.0,493.0,136,131,163,68.0,290,,95.0,49.0,108,145.0,50.0,215.0,100.0,143.0,15,13.0,203.0,63.0,30.0,50.0,15.0,9.0,12.0,80.0,16.0,49.0,,0.0,16,36.0,44.0,234.0,1,0,0,20,2.0,0,9.0,0,14.0,2.0,21.0,0.0,14.0,99.0,4.0,100,94,61,4,24,2,30.0,89.0,0,21,12,8,27,35,20,1,5,3.0,4.0,264,92,,50.0,39.0,1.0,19.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,45.0,90,60,44,5,24,14,20.0,2021-03-10 00:30:00,2,30,0
3,30.0,155.0,61.0,495.0,136,131,163,68.0,290,,96.0,49.0,108,145.0,51.0,217.0,100.0,143.0,15,13.0,204.0,71.0,30.0,50.0,15.0,9.0,12.0,80.0,16.0,49.0,25.0,0.0,16,36.0,44.0,234.0,1,0,0,20,2.0,0,9.0,0,14.0,2.0,21.0,0.0,14.0,99.0,4.0,100,94,61,4,24,2,32.0,89.0,0,21,12,8,27,35,20,1,5,2.0,4.0,264,92,,50.0,39.0,1.0,19.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,45.0,90,60,44,5,24,14,20.0,2021-03-10 00:45:00,2,45,0
4,30.0,156.0,61.0,496.0,136,131,162,69.0,290,,96.0,49.0,108,146.0,52.0,217.0,100.0,143.0,15,15.0,205.0,87.0,30.0,50.0,15.0,9.0,12.0,80.0,16.0,49.0,25.0,0.0,16,36.0,45.0,233.0,1,0,0,20,2.0,0,9.0,0,14.0,2.0,21.0,0.0,14.0,99.0,4.0,100,94,61,4,24,2,32.0,89.0,0,21,12,8,27,35,20,1,5,1.0,4.0,264,92,,50.0,39.0,1.0,19.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,45.0,89,60,44,5,24,14,20.0,2021-03-10 01:00:00,2,0,1
5,30.0,157.0,62.0,496.0,135,130,162,69.0,291,,96.0,49.0,108,146.0,52.0,218.0,100.0,143.0,15,15.0,206.0,71.0,30.0,50.0,15.0,9.0,12.0,80.0,16.0,49.0,25.0,0.0,16,36.0,45.0,235.0,7,150,53,20,1.0,0,9.0,0,14.0,2.0,21.0,0.0,14.0,99.0,4.0,100,94,61,4,24,2,32.0,89.0,0,21,12,8,27,35,20,1,5,1.0,4.0,264,92,,50.0,39.0,1.0,18.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,45.0,89,60,44,5,24,14,20.0,2021-03-10 01:15:00,2,15,1
6,30.0,157.0,62.0,497.0,135,130,162,69.0,291,,96.0,49.0,108,146.0,52.0,218.0,100.0,143.0,15,15.0,206.0,71.0,30.0,50.0,15.0,9.0,12.0,80.0,16.0,49.0,25.0,0.0,16,36.0,45.0,237.0,7,150,53,20,1.0,0,9.0,0,14.0,2.0,21.0,0.0,14.0,99.0,4.0,100,94,61,4,24,2,32.0,89.0,0,21,12,8,27,35,20,1,5,1.0,4.0,264,92,0.0,50.0,39.0,1.0,17.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,45.0,89,60,44,5,24,14,20.0,2021-03-10 01:30:00,2,30,1
7,30.0,157.0,62.0,499.0,135,131,162,69.0,291,,96.0,49.0,108,146.0,52.0,218.0,100.0,143.0,15,15.0,206.0,71.0,30.0,50.0,15.0,9.0,12.0,79.0,16.0,49.0,25.0,0.0,16,36.0,45.0,236.0,7,150,53,20,1.0,0,9.0,0,14.0,2.0,20.0,0.0,14.0,99.0,4.0,100,93,61,4,24,2,32.0,89.0,0,21,12,8,27,35,20,1,5,0.0,4.0,264,92,0.0,50.0,39.0,1.0,17.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,45.0,89,60,44,5,24,14,20.0,2021-03-10 01:45:00,2,45,1
8,30.0,158.0,62.0,499.0,135,131,162,70.0,291,,96.0,49.0,108,146.0,52.0,218.0,100.0,143.0,15,15.0,206.0,86.0,30.0,50.0,15.0,9.0,12.0,79.0,16.0,49.0,25.0,0.0,16,36.0,44.0,236.0,7,150,53,20,1.0,0,9.0,0,14.0,2.0,20.0,0.0,14.0,99.0,4.0,100,93,61,4,24,2,32.0,90.0,0,21,12,8,27,35,20,1,5,0.0,4.0,264,92,0.0,50.0,39.0,1.0,17.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,45.0,89,60,44,5,24,14,20.0,2021-03-10 02:00:00,2,0,2
9,30.0,158.0,62.0,499.0,135,131,162,70.0,292,,96.0,49.0,108,146.0,52.0,218.0,100.0,143.0,15,14.0,206.0,71.0,30.0,50.0,15.0,9.0,12.0,78.0,16.0,49.0,25.0,0.0,16,36.0,44.0,238.0,5,149,54,20,1.0,0,9.0,0,14.0,2.0,20.0,0.0,13.0,99.0,4.0,100,93,61,4,24,2,32.0,90.0,0,21,12,8,27,35,20,1,5,0.0,4.0,264,92,0.0,50.0,39.0,1.0,17.0,9.0,127,30.0,30.0,30.0,30.0,26,26,14,45.0,89,60,44,5,24,14,20.0,2021-03-10 02:15:00,2,15,2
